location,year,deaths,incidence,region,"medical doctors per 10,000","nurses and midwifes per 10,000","pharmacists per 10,000","dentists per 10,000",composite_score,rank
Austria,1991,0.3484705563565965,0.5155967245635467,Europe,0.7318822023047373,0.2848972834675295,0.3348623853211009,0.25,0.4194685585200574,18.0
Hungary,1991,0.0,0.9102051823584463,Europe,0.71651728553137,0.35352547219504854,0.22782874617737003,0.15336134453781514,0.41136090266716935,19.0
Croatia,1991,0.2388307274048712,0.9030283003774184,Europe,0.43482714468629957,0.3109338550681014,0.25535168195718655,0.2906162464985994,0.4020148721145255,20.0
Cyprus,1991,0.594172878603938,0.5742647039981963,Europe,0.34647887323943655,0.20468056287154784,0.07339449541284403,0.3935574229691876,0.3496126272256273,21.0
Malaysia,1991,1.0,0.541237445621416,Western Pacific,0.04148527528809219,0.08021672059598163,0.03211009174311927,0.0469187675070028,0.2543213371537926,22.0
Ecuador,1991,0.9199904996218984,0.0,Americas,0.23303457106274006,0.09406275867258634,0.0,0.09803921568627451,0.2075895693589346,23.0
India,1991,0.5189735661463964,0.021364134910513144,South-East Asia,0.2563380281690141,0.0,0.13532110091743116,0.0,0.1457821467906261,24.0
Thailand,1991,0.8990637024635515,0.033722655087637055,South-East Asia,0.0,0.026488072842200314,0.04128440366972477,0.0196078431372549,0.1428881543380449,25.0
Monaco,1992,0.006723824446714488,0.7063412078629143,Europe,0.5963824289405685,0.9999999999999999,1.0,0.7886297376093294,0.7012517824911959,1.0
Sweden,1992,0.3581873665016544,0.6167663435423949,Europe,0.7901808785529716,0.9444444444444444,0.3044791142425768,0.9999999999999998,0.6903617629553511,2.0
Iceland,1992,0.7721961770008374,0.608618393697157,Europe,0.6571059431524549,0.8865626710454295,0.4448917966784096,0.6567055393586005,0.6896679397808785,3.0
Finland,1992,0.45943756946739533,0.6380455382692074,Europe,0.7076227390180879,0.7493842364532018,0.6753900352289884,0.5765306122448979,0.6392566456198588,4.0
Azerbaijan,1992,0.5893007613078531,0.9964665697389277,Europe,0.8772609819121447,0.7313902572523261,0.30095621540010065,0.16545189504373176,0.5976008998987911,5.0
Kazakhstan,1992,0.5591025205068736,0.8262639333364359,Europe,0.8824289405684755,0.6787766830870279,0.4136889783593357,0.23906705539358603,0.5898986818130922,6.0
Kyrgyzstan,1992,0.6481522040807044,1.0,Europe,0.7478036175710595,0.6697454844006567,0.11625566180171112,0.14577259475218657,0.5423599194013774,7.0
Republic of Moldova,1992,0.42811017629881354,0.6569503102115863,Europe,0.7795865633074937,0.7320744389709906,0.34172118772018123,0.2536443148688046,0.5349065594498357,8.0
Australia,1992,0.7494901848766258,0.4388747429187043,Western Pacific,0.5046511627906977,0.770183360700602,0.279818822345244,0.25072886297376085,0.5198000164988417,9.0
Denmark,1992,0.27082115703954845,0.6449377141131769,Europe,0.7963824289405685,0.5903804050355774,0.16909914443885254,0.5561224489795917,0.5011024133495682,10.0
Spain,1992,0.5925352044613732,0.6504165034858893,Europe,0.9602067183462532,0.2676518883415435,0.48414695520885764,0.15816326530612243,0.4867751422201993,11.0
Czechia,1992,0.26465442238702264,0.9337771394898913,Europe,0.5868217054263566,0.5140257252326218,0.16708605938600907,0.3396501457725947,0.45141497883912973,12.0
New Zealand,1992,0.6790638199775672,0.20663350489082322,Western Pacific,0.38578811369509053,0.5831280788177339,0.4811273276295923,0.20481049562682213,0.4419785387754815,13.0
